floodZoneCategory,postFIRMConstructionIndicator,n_policies,pct_elevated,price_per_dollar_coverage
SFHA A,0,9832,0.1138120423108218,0.0075929816972006275
SFHA A,1,6177,0.3276671523393233,0.004773452289115281
SFHA V,0,270,0.08148148148148149,0.011844406906906907
SFHA V,1,188,0.7712765957446809,0.007056957872172886
non-SFHA,0,6883,0.06726718000871713,0.0038239836301721987
non-SFHA,1,6757,0.082581027083025,0.0035104682789677613
